service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
132788,1,1,1,1,1,1,0,20160217,20160417
135516,0,0,0,0,0,1,1,20160217,20160417
132183,0,0,0,0,0,0,1,20160217,20160417
135517,0,0,0,0,0,1,1,20160217,20160417
132182,1,1,1,1,1,0,0,20160217,20160417
135518,0,0,0,0,0,1,1,20160217,20160417
26656,1,1,1,1,1,0,0,20160217,20160417
26949,0,0,0,0,0,0,1,20160217,20160417
36384,0,0,0,0,0,1,0,20160217,20160417
36479,1,1,1,1,1,0,0,20160217,20160417
42664,1,1,1,1,1,0,0,20160217,20160417
38501,0,0,0,0,0,1,0,20160217,20160417
38504,0,0,0,0,0,0,1,20160217,20160417
40064,1,1,1,1,1,0,0,20160217,20160417
40074,1,1,1,1,1,1,1,20160217,20160417
42666,1,1,1,1,1,0,0,20160217,20160417
42665,1,1,1,1,1,0,0,20160217,20160417
41883,0,0,0,0,1,1,0,20160217,20160417
41882,1,1,1,1,0,0,0,20160217,20160417
41987,1,1,1,0,0,0,0,20160217,20160417
41886,0,0,0,0,0,0,1,20160217,20160417
41994,0,0,0,1,0,0,0,20160217,20160417
41989,0,0,0,1,0,0,0,20160217,20160417
41998,0,0,0,0,0,0,1,20160217,20160417
41996,0,0,0,0,1,1,0,20160217,20160417
42085,0,0,0,0,0,1,0,20160217,20160417
42083,0,0,0,0,1,0,0,20160217,20160417
42653,1,0,0,0,0,0,0,20160217,20160417
42138,0,0,0,0,1,1,0,20160217,20160417
42652,0,1,0,0,0,0,0,20160217,20160417
42651,1,0,0,0,0,0,0,20160217,20160417
36489,0,0,0,0,0,1,0,20160217,20160417
16092,1,1,1,1,1,0,0,20160217,20160417
40450,0,0,1,1,1,0,0,20160217,20160417
16233,0,0,0,0,0,0,1,20160217,20160417
40622,1,1,1,1,1,1,1,20160217,20160417
132829,0,0,0,0,1,1,1,20160217,20160417
38274,1,1,1,1,1,1,1,20160217,20160417
39389,0,0,0,0,0,0,1,20160217,20160417
36238,1,1,1,1,1,0,0,20160217,20160417
38253,1,1,1,1,1,1,1,20160217,20160417
132830,0,0,0,0,1,1,1,20160217,20160417
132831,0,0,0,0,1,1,1,20160217,20160417
38824,0,0,0,0,0,1,0,20160217,20160417
38827,0,0,0,0,0,0,1,20160217,20160417
38742,1,1,1,1,1,0,0,20160217,20160417
38754,1,1,1,1,1,0,0,20160217,20160417
14741,1,1,1,1,1,0,0,20160217,20160417
38881,1,1,1,1,1,0,0,20160217,20160417
38835,0,0,0,0,0,0,1,20160217,20160417
38832,0,0,0,0,0,1,0,20160217,20160417
42571,1,1,1,1,1,0,0,20160217,20160417
28960,0,0,0,0,0,0,1,20160217,20160417
16203,0,0,0,0,0,1,0,20160217,20160417
